Nom;Catégorie; Energie;Sodium; Magnésium;Phosphore; Potassium; Calcium; Manganèse; Fer; Cuivre; Zinc; Iode; Protéines; Glucides; Amidon;Fibres; Eau; Lipides
Thon germon ou thon blanc à l'huile de soja, appertisé, égoutté;Mer;780;0;0;0;0;0;0,05;0;0,05;0,4;18;30,4;0;0;0;61,3;7,1
Thon germon ou Thon blanc, à l'huile d'olive, appertisé, égoutté;Mer;835;270;35,9;196;331;1;0,1;0,5;0,1;0,4;6;31,3;0;0;0;60,8;8,18
Thon germon ou thon blanc, cuit vapeur sous pression;Mer;704;41,1;34,3;307;390;1,33;0,02;1,01;0,22;0,54;40;30;0;0;0;64;5,24
Thon, au naturel, appertisé, égoutté;Mer;448;285;26,9;159;222;7,82;0,00247;0,925;0,0462;0,494;10,6;24,5;0;0;0;72,2;0,858
Truite d'élevage, fumée;Mer;718;1270;31,4;227;412;2,7;0,1;0,4;0,1;0,4;40;23,4;0;0;0;61,7;8,65
Blé dur précuit, grains entiers, cuit;Céréale;655;17;28,2;116;102;18,9;0,507;0,72;0,287;0,477;1;5,1;30,4;11,6;2,58;60,7;0,66
Frik (blé dur immature concassé), cuit;Céréale;320;2;30,4;55;95,5;19,6;0;1;0;0;0;2,1;13,9;12,1;3,5;79,6;0,48
Frik (blé dur immature concassé), sec;Céréale;1360;4,2;114;258;512;50,3;3,6;5,2;0;3,6;0;9,11;56,7;38,7;19,3;11;2,17
Riz blanc étuvé, cuit;Céréale;641;38,6;10;35;41,7;11,1;0,1;0,1;0,1;0,1;5;2,91;31,1;28,5;0,82;63,5;1,44
Riz blanc, cuit;Céréale;571;117;11,4;38;29,9;8,17;0,216;0,381;0,182;0,421;59,6;2,49;28,7;26;0,1;66,5;0,927
Riz complet, cuit;Céréale;659;205;49,6;117;51,3;19,8;0,901;0;0,12;0,634;0;3,5;31,7;28,5;2,16;61;1,1
Riz complet, sec;Céréale;1500;2,88;104;237;235;11,9;2,35;0,4;0,463;1,82;0;6,85;73,3;62;3,6;12,3;2,8
Riz rouge, cuit;Céréale;598;3,5;54,5;156;75,4;19,8;0;0;0;0;0;3,4;28,2;27;4;63,1;0,69
Riz rouge, sec;Céréale;1490;11;130;372;288;13,4;2;0;0;2,1;0;8;70,6;58,4;4,5;12,4;3
Riz sauvage, cuit;Céréale;847;4,9;53,2;189;139;16,4;0;0;0,121;2;0;6,5;40,3;28,5;3,1;48,8;0,58
Riz sauvage, sec;Céréale;1460;2,7;90,1;317;298;6,95;1,1;0;0;3,7;0;11,1;69,3;64;5,9;11,5;0,94
Agneau, collier, cru;Viande;767;0;0;0;0;0;0;1,27;0;3,83;0;16,4;0;0;0;68;13,2
Agneau, côte filet, crue;Viande;962;0;0;0;0;0;0;1,26;0;2,08;0;16,3;0;0;0;62,5;18,5
Agneau, côte première, crue;Viande;1120;0;0;0;0;0;0;1,21;0;1,86;0;15,5;0;0;0;58,9;23,2
Agneau, côtelette, grillée;Viande;977;120;20,1;184;0;19,7;0,00787;0;0,0767;3,09;5;25,7;0;0;0;60,6;14,6
Agneau, épaule, maigre, rôtie;Viande;782;70;22;188;278;11;0;1,87;0;0;5;22,3;0;0;0;65;10,9
Agneau, épaule, rôtie;Viande;1200;95,5;25,4;231;376;8,8;0,1;2,2;0,2;4,7;8,6;30,5;0;0;0;53,7;18,3
Agneau, gigot, cru;Viande;535;71,3;21,9;195;279;10;0,01;1,45;0,122;2,94;1,28;17,8;0;0;0;73,5;6,29
Agneau, gigot, rôti;Viande;808;159;30,7;0;0;21,8;0,0146;2,1;0,115;3,17;5;23,8;0;0;0;67,1;10,9
Agneau, selle, crue;Viande;893;0;0;0;0;0;0;1,23;0;2,41;0;16,2;0;0;0;64,7;16,7
Boeuf, à bourguignon, cuit;Viande;660;0;0;171;0;0;0;2,4;0;0;6;30;0;0;0;61,1;4,05
Boeuf, à pot0au0feu, cuit;Viande;1002;52;10;170;250;17;0;4,3;0;9,7;6;28,5;0;0;0;56,5;14
Boeuf, bavette, crue;Viande;432;0;0;0;0;0;0;3,31;0;6,8;0;18,3;0;0;0;73,7;3,27
Boeuf, bifteck, grillé;Viande;628;65,2;28,9;0;371;7,07;0,0259;2,27;0,0759;5,4;6;27,6;0;0;0;69,1;4,28
Boeuf, braisé;Viande;1000;0;24,3;0;0;0;0;5,9;0;10,5;6;32,1;0;0;0;55,7;12,4
Boeuf, entrecôte, crue;Viande;942;59,5;68,5;166;324;7;0,011;2,21;0,062;4,25;3,55;18,4;0;0;0;62,5;17
Boeuf, entrecôte, grillée;Viande;800;0;0;200;0;0;0;2,6;0;5,8;6;22;0;0;0;62;11,5
Boeuf, faux0filet, cru;Viande;492;62,5;22;183;348;7,26;0,011;2,26;0,09;3,26;3,4;21,6;0;0;0;71,5;3,37
Boeuf, faux0filet, grillé;Viande;713;0;0;0;0;0;0;1,9;0;3,3;6;23;0;0;0;64;8,7
Boeuf, flanchet, cuit;Viande;814;53;22;201;326;18;0,009;1,8;0,088;4,79;6;27,6;0;0;0;63,3;9,31
Boeuf, hampe, crue;Viande;625;0;0;0;0;0;0;3,68;0;4,51;0;18;0;0;0;71,5;8,62
Boeuf, joue, crue;Viande;472;0;0;0;0;0;0;3,18;0;2,7;0;20;0;0;0;73,2;3,56
Boeuf, macreuse, crue;Viande;461;0;0;0;0;0;0;2,86;0;4,59;0;19,5;0;0;0;74,5;3,49
Boeuf, paleron, cru;Viande;583;0;0;0;0;0;0;2,5;0;5,5;0;20,1;0;0;0;72,3;6,53
Boeuf, plat de côtes, cru;Viande;1170;0;0;0;0;0;0;1,9;0;3,08;0;17,4;0;0;0;58,1;23,7
Boeuf, rosbif, rôti;Viande;589;153;31,2;203;369;10,1;0,0124;5,5;0,101;5,44;5;26,4;0;0;0;66,5;3,78
Boeuf, tende de tranche, crue;Viande;487;0;0;0;0;0;0;2,75;0;3,46;0;20,6;0;0;0;74,7;3,69
Cheval, entrecôte muscle, cru;Viande;499;0;0;0;0;0;0;2,84;0;2,51;0;22,1;0;0;0;71,5;3,34
Cheval, faux0filet, cru;Viande;510;0;0;0;0;0;0;2,55;0;1,91;0;22,2;0;0;0;71,5;3,58
Cheval, tende de tranche, crue;Viande;448;0;0;0;0;0;0;3,06;0;2,32;0;22,7;0;0;0;71,5;1,68
Cheval, viande, rôtie;Viande;677;39,8;28,1;214;332;4,8;0,1;3,4;0,16;3,1;4;28,1;0;0;0;64,4;5,29
Chevreuil, rôti;Viande;732;70;28,5;258;348;18;0,043;6,14;0,33;3,32;2,45;32,6;0;0;0;65;4,8
Lapin braisé;Viande;828;37;20;226;300;20;0,032;2,37;0,176;2,37;3;30,4;0;0;0;58,8;8,41
Lapin, viande cuite;Viande;689;120;31,5;200;340;24;0,015;2,27;0,0627;1,79;0;20,5;0;0;0;68,2;9,2
Lièvre, en ragoût;Viande;850;0;0;0;0;0;0;0;0;0;3;30;0;0;0;60,9;9,2
Porc, côte, grillée;Viande;876;82,7;32,1;228;413;18,4;0,0124;0,831;0,0652;2,47;5;24,3;0;0;0;65,1;12,5
Porc, échine, rôtie;Viande;1260;58,5;27;213;416;18,5;0,0135;1,77;0,07;3,49;5;27,9;0;0;0;48,5;21,2
Porc, filet, maigre, en rôti, cuit;Viande;815;59,7;31,3;276;430;5,67;0,0127;0,8;0,0967;2,59;5;27,5;0;0;0;64,3;9,39
Porc, rôti, cuit;Viande;590;86,9;31,8;341;340;9,83;0,0095;1,14;0,0559;2,4;3,1;21,1;0;0;0;67,7;6,26
